Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
398,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
399,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
400,28.7503748,77.1133772,-0.06,274.29,-0.22,-0.62
401,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
402,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
403,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
404,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
405,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
406,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
407,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
408,28.7503748,77.1133773,-0.06,274.23,-0.19,-0.62
409,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
410,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
411,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
412,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
413,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
414,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
415,28.7503748,77.1133773,-0.06,274.13,-0.38,-1.05
416,28.7503748,77.1133774,-0.06,274.17,-0.51,-0.96
417,28.7503748,77.1133774,-0.06,274.17,-0.51,-0.96
418,28.7503748,77.1133774,-0.06,274.17,-0.51,-0.96
419,28.7503748,77.1133774,-0.06,274.17,-0.51,-0.96
